SNR,BER,FER,CFO,MOD,CODERATE
19,0.466240029679095,1,6.65804435732001,256,0.833333333333333
9,0.485869076258092,1,-1.39391331512844,16,0.833333333333333
6,0,0,8.51114486260259,2,0.5
2,0.5,1,0,256,0.833333333333333
3,0.5,1,0,64,0.5
8,0.494184625910179,1,-8.79690215673236,64,0.666666666666667
22,0.0173264636187743,1,10.6151400742485,64,0.5
10,0.284469563169669,1,7.67488848320467,4,0.833333333333333
23,0,0,-0.576652589925985,16,0.5
19,0,0,8.40517070767789,256,0.5
24,0.00955426470300612,1,6.35361798773961,16,0.833333333333333
15,0.0236556303038297,0.777777777777778,17.0551346485019,2,0.75
8,0.5,1,0,16,0.833333333333333
24,0.0865796637101291,1,5.64710481071719,64,0.833333333333333
11,0.487060263874236,1,0.418105416322188,1024,0.5
1,0.5,1,0,64,0.5
11,0.500618658747835,1,14.1790566000041,64,0.833333333333333
3,0.499664269708539,1,5.24830081799951,1024,0.833333333333333
4,0.497944531295235,1,8.99292964530435,64,0.75
11,0,0,17.1350403533325,4,0.5
10,0.183408633065384,1,8.80176219375627,16,0.833333333333333
3,0.5,1,0,2,0.833333333333333
10,0.271245027065806,1,9.50059804057963,16,0.75
1,0.5,1,0,4,0.5
14,0,0,-2.01227198759149,4,0.5
15,0.49563550621101,1,10.2905387586935,1024,0.833333333333333
16,0.476874003189793,1,5.26682272257253,256,0.75
8,0.00596569724086503,0.888888888888889,-0.641589721792355,4,0.833333333333333
11,0.0211526337529077,1,-7.00772156264676,16,0.75
13,0.49018832557186,1,13.0878501859255,256,0.833333333333333
21,0.00148235025818958,1,10.6141360966355,256,0.5
7,0.49928259309985,1,-3.22205231576579,16,0.75
21,0,0,5.59693085927419,4,0.75
8,0.49859414814164,1,-1.8064352419727,1024,0.666666666666667
4,0.5,1,0,2,0.75
9,0.454174754910938,1,2.97028299322358,256,0.666666666666667
2,0.5,1,0,1024,0.833333333333333
24,0.0903437137759023,1,2.83934799446543,1024,0.5
13,0.017151379567487,1,2.71784047303098,4,0.833333333333333
12,0,0,8.12716154723933,4,0.666666666666667
16,0.499109924343569,1,11.9832084954636,1024,0.833333333333333
21,0.458590828769196,1,5.34493710591754,1024,0.666666666666667
3,0.5,1,0,4,0.5
5,0.5,1,0,16,0.666666666666667
6,0.5,1,-7.19948941934607,16,0.5
8,0.493598510009247,1,2.07957221318984,64,0.833333333333333
8,0.499947902421235,1,0.181013436576985,64,0.833333333333333
15,0.222615361934247,1,6.04508968242948,4,0.666666666666667
5,0.5,1,0,256,0.833333333333333
18,0.00473716880656016,1,3.8565815671062,16,0.5
4,0.5,1,0,2,0.833333333333333
25,0.380321979127005,1,0.961020976698948,1024,0.666666666666667
17,0,0,8.26428534428667,4,0.666666666666667
10,0.5,1,0,256,0.833333333333333
10,0,0,1.09282803422003,4,0.5
20,0.252214695153726,1,-8.2016688544333,64,0.75
12,0,0,5.16174866030093,2,0.666666666666667
2,0.5,1,0,64,0.75
23,0,0,6.41943794180125,64,0.75
7,0.499218536318525,1,22.3562044193653,64,0.833333333333333
10,0.5,1,0,2,0.833333333333333
20,0,0,4.90512966399442,2,0.5
3,0.5,1,0,4,0.5
15,0.00177177764734016,0.444444444444444,2.49797819382716,64,0.5
2,0.498855363517018,1,6.86494599224501,256,0.75
8,0.499566014603609,1,16.6591119526068,256,0.75
18,0.476754630036415,1,-1.69761833811984,1024,0.666666666666667
2,0.5,1,0,256,0.5
22,0.00068479749559773,0.666666666666667,14.8229872445683,64,0.5
4,0.5,1,0,16,0.666666666666667
11,0,0,2.24251197856206,2,0.5
3,0.5,1,0,1024,0.5
23,0,0,10.3781670562566,16,0.666666666666667
3,0.489325854909889,1,6.6325355926593,64,0.5
19,0.222157100248766,1,-5.58396374388762,64,0.833333333333333
25,0,0,3.4914811786336,4,0.75
1,0.5,1,0,64,0.5
5,0.5,1,0,1024,0.75
24,0.0152503315289463,1,9.04018555989862,64,0.5
5,0.0346630076121402,1,12.1451489303607,16,0.5
14,0.000130924325739722,0.111111111111111,3.83628896865877,4,0.75
14,0.000619578686493185,0.666666666666667,3.3152930441985,16,0.75
22,0,0,8.87005379296337,16,0.75
15,0.0108745646888757,0.888888888888889,5.74390964110946,4,0.5
23,0.181311018131102,1,6.51722567595386,16,0.666666666666667
8,0.500309214594929,1,10.9527770375613,256,0.75
12,0.501418605861836,1,8.10897862447621,1024,0.75
0,0.5,1,0,4,0.5
12,0.0106533743830328,1,10.6725155984185,256,0.5
17,0.29015401540154,1,-3.63525964607359,64,0.75
6,0.5,1,0,64,0.833333333333333
10,0.498940729676166,1,11.5755426881459,256,0.833333333333333
25,0,0,10.655525625324,2,0.75
23,0.000162895632768085,0.555555555555556,4.30501437402123,64,0.666666666666667
22,0,0,0.0879932703475839,64,0.75
1,0.5,1,0,1024,0.5
8,0.5,1,0,4,0.5
5,0.5,1,0,1024,0.75
23,0,0,15.3484653882778,2,0.833333333333333
9,0.46098228243877,1,6.23295006559098,64,0.75
1,0.5,1,0,4,0.833333333333333
6,0.5,1,0,4,0.833333333333333
21,0.0052199850857569,0.777777777777778,5.21430704514116,4,0.833333333333333
17,0,0,8.90464084212952,16,0.666666666666667
18,0.00135342481616583,0.777777777777778,3.82741780279444,64,0.75
23,0,0,-0.0908686111811285,1024,0.5
1,0.49882751433038,1,-2.06716980298453,64,0.75
14,0.496112933173686,1,3.03283578192888,1024,0.75
1,0.498572238846838,1,-5.75992971141611,16,0.833333333333333
22,0,0,1.82491867803009,2,0.5
19,0,0,1.89678223367861,2,0.666666666666667
20,0,0,8.85564533222003,2,0.666666666666667
5,0.5,1,0,1024,0.5
23,0,0,5.09385787129274,2,0.666666666666667
1,0.5,1,0,2,0.75
20,0,0,6.81847009024492,16,0.5
0,0.5,1,0,2,0.833333333333333
15,0.0196136408436822,0.777777777777778,7.82189034033916,4,0.5
23,0,0,-0.208834280898955,2,0.5
6,0.50279129058727,1,46.573765955895,64,0.833333333333333
10,0.5,1,0,1024,0.75
18,0.0008242081714353,0.111111111111111,6.31601062532345,4,0.833333333333333
1,0.5,1,0,256,0.75
22,0,0,7.10249126914287,4,0.75
13,0.475121787151862,1,3.96685978497494,256,0.75
10,0.499363820989014,1,5.70252531620136,16,0.666666666666667
23,0,0,-0.93920326517105,16,0.833333333333333
7,0.5,1,0.330365439067965,1024,0.833333333333333
17,0.486442271301078,1,1.32433125992344,256,0.666666666666667
8,0.501891474482447,1,20.751084298348,1024,0.75
21,0,0,12.1069938197755,16,0.666666666666667
21,0.498270598614917,1,6.67453311115435,1024,0.833333333333333
0,0.5,1,0,16,0.833333333333333
22,0,0,8.85828913487724,2,0.75
13,0.00256835783151573,0.333333333333333,-11.9571430601519,2,0.833333333333333
20,0.218113437248636,1,3.48088250249569,64,0.5
1,0.5,1,0,4,0.833333333333333
1,0.5,1,0,256,0.5
24,0.326314227937445,1,7.58131721415139,1024,0.833333333333333
22,0,0,8.94071827037166,16,0.5
24,0,0,1.94165335387061,2,0.833333333333333
13,0,0,2.42968820825173,4,0.75
10,0.498898085966648,1,6.2012655184485,1024,0.75
8,0.184364419821484,0.888888888888889,3.55517408482006,2,0.75
10,0.5,1,0,1024,0.75
15,0,0,7.18173020095479,4,0.75
19,0.0685399940529289,0.555555555555556,8.46045446387268,2,0.666666666666667
11,0.00229600847756976,0.444444444444444,12.5553568545668,4,0.833333333333333
3,0.501137373204854,1,15.5105851662894,1024,0.666666666666667
8,0.363472784525416,1,1.90650764894622,16,0.833333333333333
12,0.19306941455249,1,5.59903961186911,16,0.75
13,0.443964388583399,1,14.4459648173713,4,0.75
20,0.301798636056015,1,6.18608597644367,1024,0.75
4,0.49886750822521,1,0.496062835739749,256,0.833333333333333
22,0,0,2.23581759573029,2,0.666666666666667
12,0,0,12.0401183528172,4,0.75
4,0.5,1,0,2,0.75
13,0.477721500403729,1,-2.46660159208214,16,0.666666666666667
0,0.5,1,0,16,0.666666666666667
22,0,0,9.00353387906627,2,0.833333333333333
5,0.0769717085506559,1,-11.2193857413652,2,0.833333333333333
15,0.484550273848227,1,7.79309684366695,256,0.833333333333333
8,0.499788235677401,1,-6.38672502614357,64,0.666666666666667
9,0.496994575575429,1,13.2018990769937,64,0.666666666666667
3,0.5,1,0,256,0.5
4,0.5,1,0,1024,0.833333333333333
0,0.46666231874606,1,9.25862900240601,16,0.75
9,0.0251505957877149,0.777777777777778,-5.41323624717771,2,0.75
3,0.496425045297226,1,10.1090634486053,256,0.75
9,0.499363673982464,1,11.0068101046701,1024,0.833333333333333
4,0.5,1,0,256,0.5
18,0,0,7.30255533018419,4,0.833333333333333
9,0.501209734292441,1,-2.89235120257706,256,0.75
22,0.16428930883093,1,10.4676835261792,1024,0.75
0,0.5,1,0,1024,0.5
15,0.439883366726938,1,4.36529365447746,64,0.666666666666667
21,0,0,8.49521197596595,64,0.833333333333333
18,0,0,9.21431486258454,2,0.833333333333333
22,0.000849423372210788,0.444444444444444,-2.60102837985931,16,0.5
20,0.469795985290329,1,4.83291059636051,1024,0.833333333333333
23,0,0,6.32576888871038,4,0.5
23,0,0,1.28000496422348,2,0.75
17,0,0,-0.147828683322217,4,0.666666666666667
17,0.490757628394418,1,-0.27268178273957,64,0.75
14,0.00707624078784321,1,3.88902846184699,64,0.5
